Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3004) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3015) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3023) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3003) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3004) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3036) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3044) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3045) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: El nodo(10.1.137.159,3036) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3003) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3004) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3036) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3045) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3044) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: El nodo(10.1.137.159,3003) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3004) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3023) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3036) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3015) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3045) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3044) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3049) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3004) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: El nodo(10.1.137.159,3003) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3004) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3015) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3036) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3045) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3044) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3049) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3015) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3045) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3004) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3015) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3045) | Type: KeepAlive. 
